store_id,store_name,wkt
place_11,McDonald's,"POLYGON ((13.1240319999999997 52.5287530000000018, 13.1239170000000005 52.5287560000000013, 13.1239170000000005 52.5287640000000025, 13.1238790000000005 52.5287649999999999, 13.1238779999999995 52.5287569999999988, 13.1237399999999997 52.5287610000000029, 13.1237320000000004 52.5286499999999990, 13.1241289999999999 52.5286410000000004, 13.1241369999999993 52.5287509999999997, 13.1240710000000007 52.5287519999999972, 13.1240710000000007 52.5287599999999983, 13.1240609999999993 52.5287599999999983, 13.1240609999999993 52.5287640000000025, 13.1240430000000003 52.5287640000000025, 13.1240430000000003 52.5287610000000029, 13.1240330000000007 52.5287610000000029, 13.1240319999999997 52.5287530000000018))"
place_12,McDonald's,"POLYGON ((13.3079660000000004 52.4774019999999979, 13.3079970000000003 52.4774010000000004, 13.3079959999999993 52.4773789999999991, 13.3079830000000001 52.4773789999999991, 13.3079800000000006 52.4772990000000021, 13.3079920000000005 52.4772990000000021, 13.3079909999999995 52.4772770000000008, 13.3079789999999996 52.4772770000000008, 13.3079750000000008 52.4771939999999972, 13.3079459999999994 52.4771870000000007, 13.3077470000000009 52.4773240000000030, 13.3077089999999991 52.4773029999999991, 13.3076629999999998 52.4773349999999965, 13.3077000000000005 52.4773550000000029, 13.3076930000000004 52.4773599999999973, 13.3078509999999994 52.4774450000000030, 13.3078640000000004 52.4774519999999995, 13.3078819999999993 52.4774559999999965, 13.3079009999999993 52.4774570000000011, 13.3079190000000001 52.4774540000000016, 13.3079350000000005 52.4774499999999975, 13.3079490000000007 52.4774420000000035, 13.3079599999999996 52.4774329999999978, 13.3079660000000004 52.4774140000000031, 13.3079660000000004 52.4774019999999979))"
place_13,McDonald's,"POLYGON ((13.5438510000000001 52.5529760000000010, 13.5438100000000006 52.5527259999999998, 13.5438080000000003 52.5527149999999992, 13.5437759999999994 52.5527170000000012, 13.5437670000000008 52.5526630000000026, 13.5435180000000006 52.5526780000000002, 13.5435269999999992 52.5527310000000014, 13.5435060000000007 52.5527319999999989, 13.5435490000000005 52.5529950000000028, 13.5438510000000001 52.5529760000000010))"
place_14,McDonald's,"POLYGON ((13.3075069999999993 52.6355069999999969, 13.3078990000000008 52.6356350000000006, 13.3079780000000003 52.6355459999999979, 13.3078129999999994 52.6354919999999993, 13.3078260000000004 52.6354770000000016, 13.3076000000000008 52.6354019999999991, 13.3075069999999993 52.6355069999999969))"
place_15,McDonald's,"POLYGON ((13.1864620000000006 52.4029700000000034, 13.1864120000000007 52.4029910000000001, 13.1865190000000005 52.4030860000000018, 13.1869359999999993 52.4029099999999985, 13.1868280000000002 52.4028149999999968, 13.1866489999999992 52.4028909999999968, 13.1866380000000003 52.4028810000000007, 13.1865930000000002 52.4029000000000025, 13.1866040000000009 52.4029099999999985, 13.1865050000000004 52.4029519999999991, 13.1864939999999997 52.4029409999999984, 13.1864500000000007 52.4029600000000002, 13.1864620000000006 52.4029700000000034))"
place_16,McDonald's,"POLYGON ((13.0665720000000007 52.3918010000000010, 13.0667360000000006 52.3917950000000019, 13.0667460000000002 52.3918869999999970, 13.0665809999999993 52.3918940000000006, 13.0665779999999998 52.3918639999999982, 13.0665720000000007 52.3918010000000010))"
place_17,McDonald's,"POLYGON ((13.6235420000000005 52.5042609999999996, 13.6232900000000008 52.5042919999999995, 13.6233629999999994 52.5045179999999974, 13.6234179999999991 52.5045110000000008, 13.6234400000000004 52.5045840000000013, 13.6236460000000008 52.5045590000000004, 13.6236230000000003 52.5044860000000000, 13.6236049999999995 52.5044880000000020, 13.6235750000000007 52.5043890000000033, 13.6235850000000003 52.5043879999999987, 13.6235420000000005 52.5042609999999996))"
place_18,McDonald's,"POLYGON ((13.5927959999999999 52.4482410000000030, 13.5928649999999998 52.4479019999999991, 13.5931049999999995 52.4479210000000009, 13.5930359999999997 52.4482590000000002, 13.5927959999999999 52.4482410000000030))"
place_19,McDonald's,"POLYGON ((13.2733889999999999 52.4589769999999973, 13.2734249999999996 52.4591470000000015, 13.2735369999999993 52.4591840000000005, 13.2735579999999995 52.4591580000000022, 13.2735099999999999 52.4591410000000025, 13.2735500000000002 52.4590919999999983, 13.2735909999999997 52.4591089999999980, 13.2736979999999996 52.4589920000000021, 13.2736000000000001 52.4589569999999981, 13.2736710000000002 52.4588759999999965, 13.2735719999999997 52.4588430000000017, 13.2734930000000002 52.4589209999999966, 13.2734640000000006 52.4589080000000010, 13.2733889999999999 52.4589769999999973))"
place_20,McDonald's,"POLYGON ((13.3795389999999994 52.4372860000000003, 13.3796900000000001 52.4375319999999974, 13.3798940000000002 52.4374859999999998, 13.3797429999999995 52.4372389999999982, 13.3795389999999994 52.4372860000000003))"
place_21,McDonald's,"POLYGON ((13.2333400000000001 52.5271180000000015, 13.2335150000000006 52.5270889999999966, 13.2334680000000002 52.5269809999999993, 13.2334800000000001 52.5269789999999972, 13.2334689999999995 52.5269550000000010, 13.2334569999999996 52.5269570000000030, 13.2334270000000007 52.5268909999999991, 13.2334390000000006 52.5268889999999971, 13.2334280000000000 52.5268650000000008, 13.2334160000000001 52.5268670000000029, 13.2333990000000004 52.5268289999999993, 13.2332230000000006 52.5268590000000017, 13.2333400000000001 52.5271180000000015))"
place_22,McDonald's,"POLYGON ((13.5987720000000003 52.5956100000000006, 13.5989319999999996 52.5955250000000021, 13.5992540000000002 52.5957470000000029, 13.5990939999999991 52.5958320000000015, 13.5987720000000003 52.5956100000000006))"
place_23,McDonald's,"POLYGON ((13.5158590000000007 52.6009189999999975, 13.5159020000000005 52.6008619999999993, 13.5158509999999996 52.6008470000000017, 13.5158609999999992 52.6008330000000015, 13.5156369999999999 52.6007699999999971, 13.5154019999999999 52.6010819999999981, 13.5154639999999997 52.6010989999999978, 13.5154599999999991 52.6011049999999969, 13.5155569999999994 52.6011319999999998, 13.5155499999999993 52.6011400000000009, 13.5156390000000002 52.6011650000000017, 13.5156740000000006 52.6011179999999996, 13.5157019999999992 52.6011260000000007, 13.5158590000000007 52.6009189999999975))"
place_24,McDonald's,"POLYGON ((13.1112800000000007 52.3762329999999992, 13.1111090000000008 52.3759990000000002, 13.1112669999999998 52.3759560000000022, 13.1113579999999992 52.3760830000000013, 13.1114379999999997 52.3761900000000011, 13.1114200000000007 52.3762200000000036, 13.1113300000000006 52.3762449999999973, 13.1112800000000007 52.3762329999999992))"
place_25,McDonald's,"POLYGON ((13.5468419999999998 52.4319520000000026, 13.5470539999999993 52.4318079999999966, 13.5470980000000001 52.4317789999999988, 13.5472739999999998 52.4318770000000001, 13.5471039999999991 52.4319899999999990, 13.5471350000000008 52.4320080000000033, 13.5470299999999995 52.4320790000000017, 13.5469500000000007 52.4320340000000016, 13.5469570000000008 52.4320290000000000, 13.5469530000000002 52.4320260000000005, 13.5469620000000006 52.4320200000000014, 13.5468419999999998 52.4319520000000026))"
place_26,McDonald's,"POLYGON ((13.4647330000000007 52.4361969999999999, 13.4646980000000003 52.4362179999999967, 13.4646290000000004 52.4361729999999966, 13.4647819999999996 52.4360860000000031, 13.4648070000000004 52.4361030000000028, 13.4648160000000008 52.4360980000000012, 13.4648369999999993 52.4361120000000014, 13.4648280000000007 52.4361170000000030, 13.4648859999999999 52.4361549999999994, 13.4648959999999995 52.4361499999999978, 13.4649239999999999 52.4361680000000021, 13.4649149999999995 52.4361729999999966, 13.4650330000000000 52.4362509999999986, 13.4649169999999998 52.4363180000000000, 13.4647330000000007 52.4361969999999999))"
place_27,McDonald's,"POLYGON ((13.4693699999999996 52.5037790000000015, 13.4695210000000003 52.5037510000000012, 13.4696650000000009 52.5037250000000029, 13.4697410000000009 52.5038800000000023, 13.4698030000000006 52.5040059999999968, 13.4696409999999993 52.5040359999999993, 13.4695800000000006 52.5039119999999997, 13.4694470000000006 52.5039360000000030, 13.4693699999999996 52.5037790000000015))"
place_28,McDonald's,"POLYGON ((13.3863699999999994 52.5202609999999979, 13.3861819999999998 52.5203149999999965, 13.3862050000000004 52.5203440000000015, 13.3862220000000001 52.5203660000000028, 13.3862530000000000 52.5204060000000013, 13.3864409999999996 52.5203520000000026, 13.3863699999999994 52.5202609999999979))"
place_29,McDonald's,"POLYGON ((13.3881289999999993 52.5199920000000020, 13.3881219999999992 52.5198869999999971, 13.3879859999999997 52.5198940000000007, 13.3879859999999997 52.5199920000000020, 13.3879889999999993 52.5200669999999974, 13.3879909999999995 52.5201459999999969, 13.3880569999999999 52.5201410000000024, 13.3881370000000004 52.5201350000000033, 13.3881340000000009 52.5200669999999974, 13.3881289999999993 52.5199920000000020))"
place_30,McDonald's,"POLYGON ((13.3661890000000003 52.4746919999999974, 13.3661290000000008 52.4747910000000033, 13.3662949999999991 52.4748280000000022, 13.3663380000000007 52.4748379999999983, 13.3663980000000002 52.4747389999999996, 13.3661890000000003 52.4746919999999974))"
place_31,McDonald's,"POLYGON ((13.4351730000000007 52.5093579999999989, 13.4349080000000001 52.5094709999999978, 13.4349380000000007 52.5094989999999981, 13.4349620000000005 52.5094950000000011, 13.4350190000000005 52.5094929999999991, 13.4350740000000002 52.5094970000000032, 13.4351140000000004 52.5095010000000002, 13.4351439999999993 52.5095110000000034, 13.4351690000000001 52.5095239999999990, 13.4351839999999996 52.5095349999999996, 13.4353140000000000 52.5094810000000010, 13.4352169999999997 52.5093969999999999, 13.4351730000000007 52.5093579999999989))"
place_32,McDonald's,"POLYGON ((13.3891570000000009 52.5489040000000003, 13.3891460000000002 52.5489839999999973, 13.3890119999999992 52.5489779999999982, 13.3887560000000008 52.5489639999999980, 13.3886540000000007 52.5489590000000035, 13.3886640000000003 52.5488780000000020, 13.3888040000000004 52.5488410000000030, 13.3888789999999993 52.5488319999999973, 13.3889669999999992 52.5488349999999969, 13.3890840000000004 52.5488629999999972, 13.3891570000000009 52.5489040000000003))"
place_33,McDonald's,"POLYGON ((13.3681800000000006 52.5258820000000028, 13.3683230000000002 52.5259190000000018, 13.3683259999999997 52.5259140000000002, 13.3683329999999998 52.5259160000000023, 13.3683289999999992 52.5259199999999993, 13.3683899999999998 52.5259360000000015, 13.3685949999999991 52.5256439999999998, 13.3686460000000000 52.5255719999999968, 13.3686240000000005 52.5255659999999978, 13.3686140000000009 52.5255640000000028, 13.3686030000000002 52.5255610000000033, 13.3685840000000002 52.5255560000000017, 13.3685620000000007 52.5255510000000001, 13.3685519999999993 52.5255480000000006, 13.3685419999999997 52.5255459999999985, 13.3685170000000006 52.5255399999999995, 13.3686190000000007 52.5253950000000032, 13.3685349999999996 52.5253739999999993, 13.3682420000000004 52.5257930000000002, 13.3681800000000006 52.5258820000000028))"
place_34,McDonald's,"POLYGON ((13.4972349999999999 52.5092160000000021, 13.4973139999999994 52.5091960000000029, 13.4972809999999992 52.5091409999999996, 13.4971990000000002 52.5091600000000014, 13.4972349999999999 52.5092160000000021))"
place_35,Burger King,"POLYGON ((13.5147539999999999 52.4526529999999980, 13.5150559999999995 52.4524970000000010, 13.5149539999999995 52.4524240000000006, 13.5149260000000009 52.4524040000000014, 13.5146239999999995 52.4525599999999983, 13.5147539999999999 52.4526529999999980))"
place_36,Burger King,"POLYGON ((13.0958539999999992 52.3842819999999989, 13.0957399999999993 52.3840670000000017, 13.0959450000000004 52.3840270000000032, 13.0960459999999994 52.3842160000000021, 13.0959120000000002 52.3842420000000004, 13.0959260000000004 52.3842670000000012, 13.0958539999999992 52.3842819999999989))"
place_37,Burger King,"POLYGON ((13.3369579999999992 52.5140039999999999, 13.3370770000000007 52.5139179999999968, 13.3374530000000000 52.5139769999999970, 13.3374720000000000 52.5139799999999966, 13.3375859999999999 52.5139520000000033, 13.3376649999999994 52.5140740000000008, 13.3376699999999992 52.5140809999999973, 13.3376769999999993 52.5140910000000005, 13.3376959999999993 52.5141199999999984, 13.3375719999999998 52.5141490000000033, 13.3375100000000000 52.5140609999999981, 13.3374819999999996 52.5140609999999981, 13.3371700000000004 52.5140540000000016, 13.3370479999999993 52.5141490000000033, 13.3369579999999992 52.5140039999999999))"
